Species,Body,Spine,Time_Bin,Col_ID,Workers,Presence,Col_Size
P_bicolor,1.946,1.441,1,A,0,0,41
P_bicolor,1.946,1.441,2,A,0,0,41
P_bicolor,1.946,1.441,3,A,3,1,41
P_bicolor,1.946,1.441,4,A,3,1,41
P_bicolor,1.946,1.441,5,A,3,1,41
P_bicolor,1.946,1.441,6,A,3,1,41
P_bicolor,1.946,1.441,7,A,4,1,41
P_bicolor,1.946,1.441,8,A,4,1,41
P_bicolor,1.946,1.441,9,A,3,1,41
P_bicolor,1.946,1.441,10,A,3,1,41
P_bicolor,1.946,1.441,11,A,3,1,41
P_bicolor,1.946,1.441,12,A,0,0,41
P_bicolor,1.946,1.441,13,A,1,1,41
P_bicolor,1.946,1.441,14,A,2,1,41
P_bicolor,1.946,1.441,15,A,0,0,41
P_bicolor,1.946,1.441,16,A,2,1,41
P_bicolor,1.946,1.441,17,A,0,0,41
P_bicolor,1.946,1.441,18,A,0,0,41
P_bicolor,1.946,1.441,19,A,0,0,41
P_bicolor,1.946,1.441,20,A,0,0,41
P_bicolor,1.946,1.441,21,A,3,1,41
P_bicolor,1.946,1.441,22,A,6,1,41
P_bicolor,1.946,1.441,23,A,5,1,41
P_bicolor,1.946,1.441,24,A,5,1,41
P_bicolor,1.946,1.441,25,A,3,1,41
P_bicolor,1.946,1.441,26,A,3,1,41
P_bicolor,1.946,1.441,27,A,2,1,41
P_bicolor,1.946,1.441,28,A,2,1,41
P_bicolor,1.946,1.441,29,A,4,1,41
P_bicolor,1.946,1.441,30,A,3,1,41
P_bicolor,1.946,1.441,31,A,3,1,41
P_bicolor,1.946,1.441,32,A,1,1,41
P_bicolor,1.946,1.441,33,A,1,1,41
P_bicolor,1.946,1.441,34,A,1,1,41
P_bicolor,1.946,1.441,35,A,2,1,41
P_bicolor,1.946,1.441,36,A,2,1,41
P_bicolor,1.946,1.441,37,A,1,1,41
P_bicolor,1.946,1.441,38,A,3,1,41
P_bicolor,1.946,1.441,39,A,2,1,41
P_bicolor,1.946,1.441,40,A,1,1,41
P_bicolor,1.946,1.441,41,A,2,1,41
P_bicolor,1.946,1.441,42,A,1,1,41
P_bicolor,1.946,1.441,43,A,0,0,41
P_bicolor,1.946,1.441,44,A,1,1,41
P_bicolor,1.946,1.441,45,A,2,1,41
P_bicolor,1.946,1.441,46,A,3,1,41
P_bicolor,1.946,1.441,47,A,3,1,41
P_bicolor,1.946,1.441,48,A,7,1,41
P_bicolor,1.946,1.441,49,A,2,1,41
P_bicolor,1.946,1.441,50,A,1,1,41
P_bicolor,1.946,1.441,51,A,2,1,41
P_bicolor,1.946,1.441,52,A,2,1,41
P_bicolor,1.946,1.441,53,A,3,1,41
P_bicolor,1.946,1.441,54,A,3,1,41
P_bicolor,1.946,1.441,55,A,1,1,41
P_bicolor,1.946,1.441,56,A,1,1,41
P_bicolor,1.946,1.441,57,A,1,1,41
P_bicolor,1.946,1.441,58,A,1,1,41
P_bicolor,1.946,1.441,59,A,1,1,41
P_bicolor,1.946,1.441,60,A,0,0,41
P_armata,4,3.45,1,B,0,0,45
P_armata,4,3.45,2,B,1,1,45
P_armata,4,3.45,3,B,1,1,45
P_armata,4,3.45,4,B,0,0,45
P_armata,4,3.45,5,B,0,0,45
P_armata,4,3.45,6,B,0,0,45
P_armata,4,3.45,7,B,1,1,45
P_armata,4,3.45,8,B,1,1,45
P_armata,4,3.45,9,B,1,1,45
P_armata,4,3.45,10,B,1,1,45
P_armata,4,3.45,11,B,1,1,45
P_armata,4,3.45,12,B,0,0,45
P_armata,4,3.45,13,B,0,0,45
P_armata,4,3.45,14,B,0,0,45
P_armata,4,3.45,15,B,0,0,45
P_armata,4,3.45,16,B,0,0,45
P_armata,4,3.45,17,B,0,0,45
P_armata,4,3.45,18,B,1,1,45
P_armata,4,3.45,19,B,1,1,45
P_armata,4,3.45,20,B,3,1,45
P_armata,4,3.45,21,B,2,1,45
P_armata,4,3.45,22,B,1,1,45
P_armata,4,3.45,23,B,1,1,45
P_armata,4,3.45,24,B,0,0,45
P_armata,4,3.45,25,B,1,1,45
P_armata,4,3.45,26,B,1,1,45
P_armata,4,3.45,27,B,2,1,45
P_armata,4,3.45,28,B,5,1,45
P_armata,4,3.45,29,B,4,1,45
P_armata,4,3.45,30,B,7,1,45
P_armata,4,3.45,31,B,4,1,45
P_armata,4,3.45,32,B,4,1,45
P_armata,4,3.45,33,B,5,1,45
P_armata,4,3.45,34,B,6,1,45
P_armata,4,3.45,35,B,2,1,45
P_armata,4,3.45,36,B,4,1,45
